GRID_ID.1,STARTweek_stravaDATE_cast,GRID_ID,ENDweek_stravaDATE_cast,SUM_total_trip_count,EcoCntr_weekly_SUM,MAX_slopePct,STARTweek_Time,HEXid_weekID,HEXid_WeekID,ENDweek_Time,week_id,week_start
BD-17,2022-10-17,BD-17,2022-10-23 23:59:00,2765.0,1181,,2022-10-17,BD-17_198,BD-17_198,2022-10-23 23:59:00,BD-17_198,2022-10-17
BD-17,2020-10-05,BD-17,2020-10-11 23:59:00,3050.0,1837,,2020-10-05,BD-17_92,BD-17_92,2020-10-11 23:59:00,BD-17_92,2020-10-05
BE-15,2022-04-11,BE-15,2022-04-17 23:59:00,20680.0,3440,,2022-04-11,BE-15_171,BE-15_171,2022-04-17 23:59:00,BE-15_171,2022-04-11
BH-26,2020-12-21,BH-26,2020-12-27 23:59:00,2820.0,668,,2020-12-21,BH-26_103,BH-26_103,2020-12-27 23:59:00,BH-26_103,2020-12-21
BQ-25,2020-08-17,BQ-25,2020-08-23 23:59:00,8965.0,0,,2020-08-17,BQ-25_85,BQ-25_85,2020-08-23 23:59:00,BQ-25_85,2020-08-17
BK-32,2022-06-20,BK-32,2022-06-26 23:59:00,3265.0,4977,,2022-06-20,BK-32_181,BK-32_181,2022-06-26 23:59:00,BK-32_181,2022-06-20
BL-36,2021-11-15,BL-36,2021-11-21 23:59:00,960.0,695,,2021-11-15,BL-36_150,BL-36_150,2021-11-21 23:59:00,BL-36_150,2021-11-15
BH-24,2021-03-08,BH-24,2021-03-14 23:59:00,1095.0,1260,,2021-03-08,BH-24_114,BH-24_114,2021-03-14 23:59:00,BH-24_114,2021-03-08
BH-26,2021-11-29,BH-26,2021-12-05 23:59:00,2450.0,842,,2021-11-29,BH-26_152,BH-26_152,2021-12-05 23:59:00,BH-26_152,2021-11-29
BT-26,2021-07-19,BT-26,2021-07-25 23:59:00,975.0,5920,,2021-07-19,BT-26_133,BT-26_133,2021-07-25 23:59:00,BT-26_133,2021-07-19
BN-62,2020-03-30,BN-62,2020-04-05 23:59:00,990.0,1355,,2020-03-30,BN-62_65,BN-62_65,2020-04-05 23:59:00,BN-62_65,2020-03-30
BI-29,2019-09-16,BI-29,2019-09-22 23:59:00,1290.0,2610,,2019-09-16,BI-29_37,BI-29_37,2019-09-22 23:59:00,BI-29_37,2019-09-16
BH-24,2022-07-04,BH-24,2022-07-10 23:59:00,3125.0,1727,,2022-07-04,BH-24_183,BH-24_183,2022-07-10 23:59:00,BH-24_183,2022-07-04
BH-26,2023-03-20,BH-26,2023-03-26 23:59:00,3340.0,690,,2023-03-20,BH-26_220,BH-26_220,2023-03-26 23:59:00,BH-26_220,2023-03-20
BL-36,2021-04-12,BL-36,2021-04-18 23:59:00,2150.0,1574,,2021-04-12,BL-36_119,BL-36_119,2021-04-18 23:59:00,BL-36_119,2021-04-12
BE-15,2022-05-16,BE-15,2022-05-22 23:59:00,26260.0,4771,,2022-05-16,BE-15_176,BE-15_176,2022-05-22 23:59:00,BE-15_176,2022-05-16
BL-36,2019-09-16,BL-36,2019-09-22 23:59:00,2425.0,1412,,2019-09-16,BL-36_37,BL-36_37,2019-09-22 23:59:00,BL-36_37,2019-09-16
BT-26,2020-03-16,BT-26,2020-03-22 23:59:00,210.0,4822,,2020-03-16,BT-26_63,BT-26_63,2020-03-22 23:59:00,BT-26_63,2020-03-16
BI-29,2020-02-17,BI-29,2020-02-23 23:59:00,270.0,1021,,2020-02-17,BI-29_59,BI-29_59,2020-02-23 23:59:00,BI-29_59,2020-02-17
BN-62,2023-09-18,BN-62,2023-09-24 23:59:00,935.0,818,,2023-09-18,BN-62_246,BN-62_246,2023-09-24 23:59:00,BN-62_246,2023-09-18
BC-12,2019-06-03,BC-12,2019-06-09 23:59:00,2420.0,4426,,2019-06-03,BC-12_22,BC-12_22,2019-06-09 23:59:00,BC-12_22,2019-06-03
BH-26,2021-04-05,BH-26,2021-04-11 23:59:00,6565.0,1244,,2021-04-05,BH-26_118,BH-26_118,2021-04-11 23:59:00,BH-26_118,2021-04-05
BN-62,2020-10-05,BN-62,2020-10-11 23:59:00,2810.0,1512,,2020-10-05,BN-62_92,BN-62_92,2020-10-11 23:59:00,BN-62_92,2020-10-05
BE-19,2022-08-29,BE-19,2022-09-04 23:59:00,14255.0,6023,,2022-08-29,BE-19_191,BE-19_191,2022-09-04 23:59:00,BE-19_191,2022-08-29
BC-12,2022-01-03,BC-12,2022-01-09 23:59:00,2150.0,680,,2022-01-03,BC-12_157,BC-12_157,2022-01-09 23:59:00,BC-12_157,2022-01-03
BC-12,2022-04-25,BC-12,2022-05-01 23:59:00,5885.0,551,,2022-04-25,BC-12_173,BC-12_173,2022-05-01 23:59:00,BC-12_173,2022-04-25
BD-17,2022-02-14,BD-17,2022-02-20 23:59:00,1400.0,891,,2022-02-14,BD-17_163,BD-17_163,2022-02-20 23:59:00,BD-17_163,2022-02-14
BD-17,2021-03-08,BD-17,2021-03-14 23:59:00,1225.0,718,,2021-03-08,BD-17_114,BD-17_114,2021-03-14 23:59:00,BD-17_114,2021-03-08
BK-32,2021-07-19,BK-32,2021-07-25 23:59:00,4235.0,6127,,2021-07-19,BK-32_133,BK-32_133,2021-07-25 23:59:00,BK-32_133,2021-07-19
BD-17,2020-01-27,BD-17,2020-02-02 23:59:00,1035.0,716,,2020-01-27,BD-17_56,BD-17_56,2020-02-02 23:59:00,BD-17_56,2020-01-27
BD-26,2019-04-01,BD-26,2019-04-07 23:59:00,130.0,1821,,2019-04-01,BD-26_13,BD-26_13,2019-04-07 23:59:00,BD-26_13,2019-04-01
BE-15,2021-12-20,BE-15,2021-12-26 23:59:00,23410.0,4373,,2021-12-20,BE-15_155,BE-15_155,2021-12-26 23:59:00,BE-15_155,2021-12-20
BI-29,2023-10-09,BI-29,2023-10-15 23:59:00,765.0,0,,2023-10-09,BI-29_249,BI-29_249,2023-10-15 23:59:00,BI-29_249,2023-10-09
BK-32,2023-12-25,BK-32,2023-12-31 23:59:00,395.0,1297,,2023-12-25,BK-32_260,BK-32_260,2023-12-31 23:59:00,BK-32_260,2023-12-25
BN-62,2020-07-13,BN-62,2020-07-19 23:59:00,2695.0,1237,,2020-07-13,BN-62_80,BN-62_80,2020-07-19 23:59:00,BN-62_80,2020-07-13
BC-12,2022-02-07,BC-12,2022-02-13 23:59:00,3420.0,1427,,2022-02-07,BC-12_162,BC-12_162,2022-02-13 23:59:00,BC-12_162,2022-02-07
BQ-25,2022-04-18,BQ-25,2022-04-24 23:59:00,3735.0,1032,,2022-04-18,BQ-25_172,BQ-25_172,2022-04-24 23:59:00,BQ-25_172,2022-04-18
BT-26,2023-07-31,BT-26,2023-08-06 23:59:00,600.0,5274,,2023-07-31,BT-26_239,BT-26_239,2023-08-06 23:59:00,BT-26_239,2023-07-31
